リークアドレス,リークサイズ,保持時間
3105605467000,24,3829656
3105605467168,24,3829594
3105605467208,24,3829531
3105605467248,24,3829469
3105605473144,80,3828594
3105605467096,48,3828469
3105605473608,472,3828359
3105605473240,48,3828297
3105605472840,48,3828234
3105605467288,272,3828172
3105605474096,272,3827922
3105605474936,272,3827859
3105605475224,272,3827781
3105605472904,24,3827734
3105605472944,24,3827656
3105605475512,272,3827609
3105605475800,272,3827531
3105605461944,24,3826734
3105605472984,24,3826672
3105605473024,24,3826609
3105605473064,32,3826547
3105605460272,472,3826484
3105605436080,272,3826422
3105605473304,272,3826359
3105605460760,48,3826297
3105605463768,272,3826234
3105605470024,24,3825984
3105605469184,272,3825922
3105605474680,48,3825797
3105605469472,272,3825734
3105605470640,472,3825672
3105605476088,272,3825609
3105605476376,272,3825531
3105605471128,48,3825484
3105605476664,272,3825422
3105605476952,272,3825172
3105605477792,272,3825109
3105605474744,144,3825047
3105605469760,24,3824984
3105605469800,24,3824922
3105605469840,144,3824875
3105605478080,272,3824797
3105605464056,48,3824687
3105605477240,272,3824609
3105605478368,472,3824547
3105605478856,272,3824484
3105605479144,272,3824422
3105605464120,48,3824375
3105605479432,272,3824297
3105605464184,24,3824047
3105605479720,272,3823984
3105605464224,48,3823859
3105605480008,272,3823797
3105605480296,472,3823734
3105605480784,272,3823672
3105605481072,272,3823609
3105605477528,48,3823547
3105605481360,272,3823484
3105605481648,272,3823234
3105605482488,272,3823172
3105605477592,144,3823109
3105605464288,24,3823047
3105605477752,24,3823000
3105605482776,144,3822922
3105605482936,272,3822875
3105605481936,48,3822750
3105605482000,272,3822687
3105605483224,472,3822625
3105605483712,272,3822547
3105605484000,272,3822500
3105605482288,48,3822437
3105605484288,272,3822375
3105605484576,272,3822125
3105605485416,272,3822062
3105605485704,144,3822000
3105605482352,24,3821937
3105605482392,24,3821875
3105605485864,144,3821797
3105605486024,272,3821750
3105605486312,48,3821687
3105605486376,48,3821312
3105605486440,48,3821187
3105605486504,24,3821062
3105605482432,24,3820875
3105605486600,24,3820797
3105605486544,24,3820625
3105605486712,24,3820562
3105605486752,24,3820500
3105605486792,24,3820437
3105605486936,24,3819937
3105605486976,48,3819890
3105605486872,24,3819687
3105605486832,24,3819500
3105605487096,24,3819437
